item_id,item_name,variation_id,variation_name,duration_minutes,price,currency,description
"PYGGFLAXBZDK3H65BVVTELGU","Vitamin C IV Drip","2QGPG26FK6EWBV6NJY3OLM6I","45 mins","45","100.00","GBP","Vitamin injections and IV therapies formulated to support overall wellness, hydration, immunity, energy levels and recovery through clinically administered nutrient treatments."
"EJHKJ3IFQBXB33LNVG2ORCKT","B12 Injection","REIQQBE5U7YW44Q6URCQSIGP","45 mins","45","35.00","GBP","Vitamin injections and IV therapies formulated to support overall wellness, hydration, immunity, energy levels and recovery through clinically administered nutrient treatments."
"DEE2CXJAVEUQCOLR6VPE6U7H","Botox Top Up","L32VEDCQWVANJQHEBPGTRYPV","45 mins","45","30.00","GBP","Bespoke clinical treatment."
"EGYA3Y76YCZ2H4ODZ7GTRYIW","HIFU - Jawline & Chin","ASDG5YAJIN6HCDAPD2GY5DTE","45 mins","45","90.00","GBP","Bespoke clinical treatment."
"62EDK7HW46IISUNQMC3UGXQ2","Lip Blush Top-Up (18 months)","SRFRP6KMPRZBM7LAI6AKRCSM","45 mins","45","150.00","GBP","Bespoke clinical treatment."
"556YBM67RAY4YCFT347ARQXT","Chemical Peels Starts From","73DTTQU65L3SZLGEH3YEKLLM","45 mins","45","50.00","GBP","Bespoke clinical treatment."
"JRUL5ZMDEHZ3KOXJI4PCALNU","Beard Line & Neck -","QUB47GOIVYHQQUY3OJXXCP7O","45 mins","45","499.00","GBP","10 Sessions"
"EC7JXKFHGKK4Z572PMFINVXV","1ml Chin Filler","XDZEDJKVL66VIXWADLPPD2GQ","45 mins","45","120.00","GBP","1 ml chin filler treatment is designed to improve chin projection, refine your and create better facial balance. It can help define a weak chin, improve symmetry and enhance your overall facial contour without surgery."
"SBANXENVIQTLA4L6VIREVL6W","Half Arms & Half Legs Package","SWTKS3UOYO2QQDKT7PYBKJFE","45 mins","45","605.00","GBP","Non-surgical skin tightening treatment using High-Intensity Focused Ultrasound (HIFU) to lift, firm and stimulate collagen production for a naturally rejuvenated appearance."
"KFZUAY4LTK6PXAP2GT5GPO5V","Skin Booster Start From","3ZDLMEWHCSXSPFV3NSDFECBY","45 mins","45","190.00","GBP","Bespoke clinical treatment."
"ONWCTVWBKI6KOTZEMROEFVNC","So Fresh So Clean Dermaplane","WLEOLZPN4YMCXYTGUYO2JUBU","45 mins","45","65.00","GBP","Bespoke clinical treatment."
"L3XRAF7RFBWEVJKJF642YUB3","Lip Filler Dissolve","V3ROSRAU7SARULHSGURZPDHW","45 mins","45","180.00","GBP","Lip filler dissolve is a treatment that uses hyaluronidase to break down unwanted or migrated hyaluronic acid lip filler. it can help correct uneven results, reduce overfilled lips or prepare the lips for future filler treatment if needed"
"RBLVBA5WMKJAKA6B2ZFKYMOT","2ml Cheek Filler","VHQHGL7NQT6NGUFTPTWEEHID","45 mins","45","250.00","GBP","At Channa Aesthetic, our Cheek Filler treatment enhances your facial contours, providing a youthful volume and definition. Using premium hyaluronic acid fillers, our experienced professionals ensure a natural looking result tailored to your features. Elevate your beauty routine with our expert care for a radiant, sculpted appearance."
"626GYTS5QBMLTHVKZPRL4UJ6","Nose Filler (Non Sergical Rhinoplasty)","6SKLIKEXVSJEWTAALZDJUKBY","45 mins","45","350.00","GBP","non surgical rhinoplasty uses dermal filler to improve the shape and profile of nose without surgery. it can help smooth small bumps, more balanced appearance while maintaining natural looking results"
"AVYGRS4Y22ROOS3AOVR5N366","Eye Booster","CBMIATYMPSQG3RR2ZLP3O3T3","45 mins","45","150.00","GBP","Injectable skin rejuvenation treatments that deeply hydrate, improve skin quality and stimulate collagen production for smoother, firmer and more radiant skin."
"MDGNJSNUGHFRUFXBQJTFIMZH","HIFU - Full Face","YESAKR2ZD633DQP7HYEHEVZC","45 mins","45","150.00","GBP","Bespoke clinical treatment."
"TB7B4CPGNUAYTE25NWYE6R6H","Face & Neck Package","PXJUOBCWP5XXO7WGQJZOYDJK","45 mins","45","495.00","GBP","Non-surgical skin tightening treatment using High-Intensity Focused Ultrasound (HIFU) to lift, firm and stimulate collagen production for a naturally rejuvenated appearance."
"EP35WL6DYS242KZ37WBB2FCF","Plasma & Microneedling","Q4Y3KRML5BUG3WDOHTS5HQ5O","45 mins","45","120.00","GBP","Bespoke clinical treatment."
"WZWC3DFY5RHHQPMXS3QOJZCQ","2ml Jaw Line Filler","ZZFHLB5GFM7ELKVHTN5Z4IWZ","45 mins","45","250.00","GBP","Enhance your facial contours with our 2 ML Jaw Line Filler at Channa Aesthetic. This professional treatment helps define and sculpt your jawline, creating a balanced and youthful appearance. Our skilled practitioners utilize high quality fillers to ensure safe and effective results tailored to your unique features. Experience a new level of confidence with this transformative beauty solution."
"HZHCAUKZ46ZSIZ5RSFLA2ADJ","Hayron Skin Booster","REX5FBPXISSJIIW6BQZYC273","45 mins","45","50.00","GBP","Injectable skin rejuvenation treatment that deeply hydrate, improve skin quality and stimulate collagen production for smoother, firmer and more radiant skin."
"ORBU4IQ5WCR5MJOCXHTWSV56","Meso plasma","6744Y55NGCUU45QFHQB76274","45 mins","45","150.00","GBP","Bespoke clinical treatment."
"IQXSI6IVODUBARF56NYVRILF","Lip Booster","EUVTMZJVCGDDVQTW7DNVZRR6","45 mins","45","140.00","GBP","Injectable skin rejuvenation treatments that deeply hydrate, improve skin quality and stimulate collagen production for smoother, firmer and more radiant skin."
"COKOWXF725ESQKETFDZRH6PT","Microblading","7I6VE42K6KBSXQ4UAFV2PTUT","45 mins","45","180.00","GBP","Bespoke clinical treatment."
"F7UJS2XZKEWR7OZVUY7QTRRZ","3 Areas Botox","4WVY35JIL2XBHPNNWQUIFVVL","45 mins","45","180.00","GBP","Bespoke clinical treatment."
"BB7NS4YTNV4IXELROZHCPSMA","Marionette Lines","GN5PQ7VLEQ3RTKUIRNYZLIKA","45 mins","45","160.00","GBP","Bespoke clinical treatment."
"JQCLQ4KCZX4STXHHFK2G7NCN","Regenve Aqua Shine","PE6OS4IY2JF7LFB5YOH4C22Q","45 mins","45","100.00","GBP","Injectable skin rejuvenation treatments that deeply hydrate, improve skin quality and stimulate collagen production for smoother, firmer and more radiant skin."
"4FUIPIOFLMAUGJW4ILVOJJSA","Hair Meso Plasma","HWPTKVAMX6TD35OJMXBXAD2A","45 mins","45","150.00","GBP","Bespoke clinical treatment."
